Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm
d.lin.c.77.2.111-100	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	2	1	112.3	1.33	0.0740	1.97	0.1955	2.12	0.0178	0.8999	-0.568	-0.448	-0.583	0.4759	0.6843	0.2322
d.lin.c.77.2.111-001	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	2	1	81.8	1.80	0.1207	2.33	0.0300	2.77	0.0240	0.7724	-0.350	-0.260	-0.196	0.5569	0.3648	0.2814
s.lin.c.77.2.110-011	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	2	1	88.2	1.80	0.0506	1.99	0.0094	2.54	0.0025	0.8027	-0.350	-0.438	-0.333	0.4129	0.1670	-0.0910
s.lin.c.77.2.101-101	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	2	1	94.3	1.96	0.0138	1.97	0.0350	3.07	0.0029	0.8296	-0.276	-0.448	-0.018	0.1977	0.3911	-0.0665
s.lin.c.77.2.101-011	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	2	1	83.6	1.77	0.1262	2.00	0.0457	2.48	0.1412	0.7812	-0.364	-0.432	-0.369	0.5643	0.4366	0.5731
s.lin.c.77.2.011-101	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	2	1	83.6	1.77	0.1263	2.00	0.0458	2.48	0.1413	0.7812	-0.364	-0.432	-0.369	0.5644	0.4369	0.5733
s.lin.c.77.2.011-011	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	2	1	76.2	1.83	0.1309	1.92	0.0007	2.40	0.0010	0.7439	-0.336	-0.474	-0.417	0.5704	-0.2758	-0.2418
d.lin.c.33.3.111-111	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	3	1	76.8	2.39	0.0104	2.41	0.0000	2.53	0.0978	0.7470	-0.077	-0.219	-0.339	0.1508	-1.0000	0.5127
d.lin.c.34.3.111-111	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	3	1	76.9	2.41	0.0130	2.53	0.1742	2.69	0.0060	0.7476	-0.067	-0.156	-0.244	0.1878	0.6647	0.0532
d.lin.c.37.3.111-111	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	3	1	75.7	2.40	0.0000	2.65	0.2107	2.79	0.0138	0.7412	-0.072	-0.094	-0.185	-1.0000	0.6971	0.1903
d.lin.c.44.3.111-111	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	3	1	78.9	2.72	0.1079	2.83	0.0005	2.85	0.0015	0.7579	0.077	0.000	-0.149	0.5384	-0.3331	-0.1751
d.lin.c.47.3.111-111	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	3	1	79.2	2.67	0.1620	2.80	0.0522	2.83	0.0021	0.7594	0.053	-0.016	-0.161	0.6057	0.4592	-0.1197
d.lin.c.77.3.111-111	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	3	1	84.0	2.67	0.1617	2.82	0.0007	2.84	0.0011	0.7831	0.053	-0.005	-0.155	0.6054	-0.2758	-0.2261
s.lin.t.33.0.000-000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	108.6	4.04	0.2724	4.25	0.2236	4.26	0.6876	0.8865	0.689	0.740	0.690	0.6918	0.7072	0.8338
s.lin.c.34.0.000-000	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	108.4	4.06	0.2708	4.23	0.3235	4.29	0.6632	0.8857	0.698	0.729	0.708	0.6908	0.7702	0.8278
s.lin.c.37.0.000-000	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	106.2	4.00	0.3198	4.17	0.2714	4.22	0.2712	0.8775	0.671	0.698	0.667	0.7183	0.7403	0.6806
s.lin.t.44.0.000-000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	108.0	4.17	0.3821	4.23	0.2269	4.27	0.7447	0.8842	0.749	0.729	0.696	0.7478	0.7097	0.8469
